Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
ucmo.edu,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,0
amazon.com,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,0
juicyfinder.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
martindale.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,0
montrealladies.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
a2zcity.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
facebook.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
baseball-reference.com,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,0
sabrinasnowden.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
genevieve-bujold-nude.pic-celebrity.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
gruntsmilitary.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
tabs.ultimate-guitar.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,0
oeuf.foodpages.ca,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
sgi.com,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,0
pics.smashits.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,0
facebook.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
cdplus.com,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0
linkedin.com,0,0,0,6,0,0,0,0,0,1,1,1,1,1,1,0
wma-minelife.com,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0
news.theage.com.au,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,0
shop.lego.com,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0
boxofficemontreal.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
visithoustontexas.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
mustrad.org.uk,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0
websters-online-dictionary.org,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,0
mylife.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
